Title,Price,Area,BHK,Bathrooms,Furnished,Floor,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Locality,Society,price_2022,price_2020,price_2018,price_2016,price_2014,price_2012,price_2010,price_2008,price_2006,price_2004,price_2002,price_2000,price_1998,price_1996,price_1994
2BHK Multistorey Apartment for Rent in Wadhwa The Address at Ghatkopar West,65000.0,1150.0,2.0,2.0,Furnished,14.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Ghatkopar,Wadhwa The Address,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,27008.842566386393,24497.816386745028,22220.241620630404,20154.414168372252,18280.647771766213,16581.08641430042,15039.53416263076
2BHK Multistorey Apartment for Rent in Crescent Bay Callisto at Parel,98000.0,1150.0,2.0,2.0,Semi-Furnished,24.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Parel,Crescent Bay Callisto,88888.88888888889,80624.84252960442,73129.1088703895,66330.25747881133,60163.49884699439,54570.06698140081,49496.65939356082,44894.9291551572,40721.024177013336,36935.16932155404,33501.28736648892,30386.6552076997,27561.592025124442,24999.176440022165,22674.98996827407
2BHK Multistorey Apartment for Rent in Ashok Gardens at Jijamata Nagar Abhyudaya Nagar,140000.0,1501.0,2.0,2.0,Furnished,10.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Jijamata,Ashok Gardens,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,43409.507439571,39373.70289303492,35713.109200031664,32392.8428118201
2BHK Multistorey Apartment for Rent in Godrej The Trees at Pirojshanagar,85000.0,1150.0,2.0,2.0,Semi-Furnished,8.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Pirojshanagar,Godrej The Trees,77097.50566893423,69929.71035730996,63428.30871411333,57531.34577243839,52182.62655096453,47331.18054509254,42930.776004619074,38939.479369269,35319.255663736054,32035.606044205033,29057.23904236284,26355.77237402525,23905.4624707712,21682.959157162084,19667.08313574792
1BHK Multistorey Apartment for Rent in Godrej The Trees at Pirojshanagar,60000.0,630.0,1.0,1.0,Semi-Furnished,6.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Pirojshanagar,Godrej The Trees,54421.76870748299,49362.14848751291,44772.92379819765,40610.361721721216,36834.79521244555,33410.24509065355,30304.07717973111,27486.691319484,24931.23929204898,22613.368972380023,20510.9922651973,18604.074616959,16874.444097014963,15305.618228584999,13882.646919351471
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala East,110000.0,1250.0,3.0,2.0,Semi-Furnished,17.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Wadala,Lodha New Cuffe Parade,99773.24263038549,90497.272227107,82083.69363002901,74452.32982315557,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala East,130000.0,1500.0,3.0,4.0,Semi-Furnished,19.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Wadala,Lodha New Cuffe Parade,117913.83219954648,106951.32172294463,97008.00156276156,87989.11706372931,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Lodha Dioro at Wadala,120000.0,1300.0,3.0,2.0,Unfurnished,25.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Wadala,Lodha Dioro,108843.53741496598,98724.29697502582,89545.8475963953,81220.72344344243,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Bali Artek Apartments at Bandra Kurla Complex,130000.0,1400.0,3.0,3.0,Semi-Furnished,5.0,East,Garden/Park,Rent,Apartment,Mumbai,2001.0,Bandra,Bali Artek Apartments,117913.83219954648,106951.32172294463,97008.00156276156,87989.11706372931,79808.72296029869,72388.8643630827,65658.83388941741,59554.497858882,54017.685132772785,48995.632773490055,44440.48324126081,,,,
3BHK Multistorey Apartment for Rent in Bandra Kurla Complex,140000.0,1500.0,3.0,3.0,Semi-Furnished,6.0,East,Garden/Park,Rent,Apartment,Mumbai,2001.0,Bandra Kurla Complex,Bandra Kurla Complex,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,,,,
1BHK Multistorey Apartment for Rent in Bhakti Park at Wadala,40000.0,550.0,1.0,2.0,Unfurnished,7.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Wadala,Bhakti Park,36281.179138322,32908.09899167527,29848.615865465097,27073.57448114748,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Vile Parle East,80000.0,1500.0,3.0,3.0,Furnished,6.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,49113.06028326073,44546.99345420474,40405.43623964148,36648.921759312005,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,65000.0,950.0,2.0,2.0,Furnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,60000.0,1000.0,2.0,2.0,Unfurnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,54421.76870748299,49362.14848751291,44772.92379819765,40610.361721721216,36834.79521244555,33410.24509065355,30304.07717973111,27486.691319484,,,,,,,
3BHK Multistorey Apartment for Rent in Vile Parle East,75000.0,1450.0,3.0,3.0,Unfurnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,,,,,,,
3BHK Multistorey Apartment for Rent in Vile Parle West,82000.0,1480.0,3.0,3.0,Unfurnished,3.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle West,Vile Parle West,74376.41723356009,67461.60293293431,61189.66252420345,55500.827686352335,50340.88679034225,45660.66829055986,41415.57214563252,37565.1448032948,,,,,,,
2BHK Multistorey Apartment for Rent in Juhu,110000.0,1250.0,2.0,2.0,Furnished,5.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007.0,Juhu,Juhu,99773.24263038549,90497.272227107,82083.69363002901,74452.32982315557,67530.4578894835,61252.11599953152,55557.47482950704,50392.267419054006,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle West,90000.0,950.0,2.0,2.0,Unfurnished,2.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007.0,Vile Parle West,Vile Parle West,81632.65306122448,74043.22273126936,67159.38569729647,60915.54258258183,55252.19281866832,50115.36763598033,45456.11576959667,41230.036979226,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,69000.0,810.0,2.0,2.0,Unfurnished,6.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,62585.034013605444,56766.470760639844,51488.86236792729,46701.9159799794,42360.01449431238,38421.78185425159,34849.688756690775,31609.695017406604,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,75000.0,940.0,2.0,2.0,Furnished,7.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,59500.0,700.0,2.0,2.0,Furnished,2.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,53968.253968253965,48950.79725011697,44399.81609987933,40271.942040706876,36527.83858567517,33131.82638156477,30051.543203233352,27257.635558488302,,,,,,,
2BHK Multistorey Apartment for Rent in Bandra West,229999.0,1000.0,2.0,3.0,Furnished,5.0,West,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1985.0,Bandra West,Bandra West,208615.87301587302,189220.74649965804,171628.79501102766,155672.37642723598,141199.43440112105,128072.04934342044,116165.12412101627,105365.19194650001,95569.33509886623,86684.20417130722,78625.12850005188,71315.30929709921,64685.08779782241,58671.28144927202,53216.581813398654
2BHK Multistorey Apartment for Rent in Mayfair Legends at Evershine Nagar,40000.0,631.0,2.0,2.0,Unfurnished,5.0,East,Garden/Park,Rent,Apartment,Mumbai,2016.0,Evershine,Mayfair Legends,36281.179138322,32908.09899167527,29848.615865465097,,,,,,,,,,,,
1BHK Multistorey Apartment for Rent in Vile Parle East,40000.0,670.0,1.0,1.0,Semi-Furnished,4.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,36281.179138322,32908.09899167527,29848.615865465097,27073.57448114748,24556.530141630366,22273.49672710237,20202.71811982074,18324.460879656002,,,,,,,
1BHK Multistorey Apartment for Rent in Vile Parle East,38000.0,700.0,1.0,1.0,Semi-Furnished,2.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,34467.120181405895,31262.69404209151,28356.18507219184,25719.895757090104,23328.70363454885,21159.82189074725,19192.582213829704,17408.2378356732,,,,,,,
1BHK Multistorey Apartment for Rent in Vile Parle East,35000.0,670.0,1.0,1.0,Unfurnished,2.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,31746.031746031746,28794.586617715864,26117.53888228196,23689.377671004044,21486.96387392657,19489.309636214573,17677.37835484315,16033.903269699002,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,65000.0,970.0,2.0,2.0,Furnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,70500.0,950.0,2.0,2.0,Semi-Furnished,4.0,North - East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,63945.578231292515,58000.52447282767,52608.18546288223,47717.175023022435,43280.88437462352,39257.037981517926,35607.29068618405,32296.862300393703,,,,,,,
2BHK Multistorey Apartment for Rent in Arihant Enclave at Andheri East,90000.0,1010.0,2.0,2.0,Furnished,3.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Andheri,Arihant Enclave,81632.65306122448,74043.22273126936,67159.38569729647,60915.54258258183,55252.19281866832,50115.36763598033,45456.11576959667,41230.036979226,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,82000.0,1100.0,2.0,2.0,Furnished,10.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,74376.41723356009,67461.60293293431,61189.66252420345,55500.827686352335,50340.88679034225,45660.66829055986,41415.57214563252,37565.1448032948,,,,,,,
1BHK Multistorey Apartment for Rent in Vile Parle East,45000.0,700.0,1.0,2.0,Furnished,8.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,40816.32653061224,37021.61136563468,33579.692848648236,30457.771291290916,27626.09640933416,25057.683817990164,22728.057884798334,20615.018489613,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,64000.0,1000.0,2.0,2.0,Furnished,7.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,58049.88662131519,52652.95838668044,47757.78538474415,43317.71916983597,39290.44822660858,35637.59476336379,32324.348991713185,29319.1374074496,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle West,75000.0,960.0,2.0,2.0,Furnished,5.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle West,Vile Parle West,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,,,,,,,
1BHK Multistorey Apartment for Rent in Juhu,60000.0,710.0,1.0,2.0,Furnished,6.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2007.0,Juhu,Juhu,54421.76870748299,49362.14848751291,44772.92379819765,40610.361721721216,36834.79521244555,33410.24509065355,30304.07717973111,27486.691319484,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle West,70000.0,1000.0,2.0,2.0,Unfurnished,2.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle West,Vile Parle West,63492.06349206349,57589.17323543173,52235.07776456392,47378.75534200809,42973.92774785314,38978.61927242915,35354.7567096863,32067.806539398003,,,,,,,
1BHK Multistorey Apartment for Rent in Sadguru Saroj at Vile Parle West,55000.0,780.0,1.0,2.0,Unfurnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile,Sadguru Saroj,49886.621315192744,45248.6361135535,41041.846815014505,37226.164911577784,33765.22894474175,30626.05799976576,27778.73741475352,25196.133709527003,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,58000.0,650.0,2.0,2.0,Unfurnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,52607.70975056689,47716.74353792915,43280.49300492439,39256.68299766385,35606.96870536403,32296.570254298436,29293.941273740074,26570.468275501204,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,65000.0,1020.0,2.0,2.0,Furnished,7.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,,,,,,,
2BHK Multistorey Apartment for Rent in Gulmohar Road,80000.0,1000.0,2.0,2.0,Unfurnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Gulmohar Road,Gulmohar Road,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,49113.06028326073,44546.99345420474,40405.43623964148,36648.921759312005,,,,,,,
3BHK Multistorey Apartment for Rent in Vile Parle East,120000.0,1500.0,3.0,3.0,Unfurnished,6.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,108843.53741496598,98724.29697502582,89545.8475963953,81220.72344344243,73669.5904248911,66820.4901813071,60608.15435946222,54973.382638968,,,,,,,
1BHK Multistorey Apartment for Rent in Vile Parle East,40000.0,650.0,1.0,2.0,Unfurnished,4.0,West,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,36281.179138322,32908.09899167527,29848.615865465097,27073.57448114748,24556.530141630366,22273.49672710237,20202.71811982074,18324.460879656002,,,,,,,
1BHK Multistorey Apartment for Rent in Vile Parle East,40000.0,550.0,1.0,2.0,Semi-Furnished,2.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,36281.179138322,32908.09899167527,29848.615865465097,27073.57448114748,24556.530141630366,22273.49672710237,20202.71811982074,18324.460879656002,,,,,,,
3BHK Multistorey Apartment for Rent in Vile Parle East,110000.0,1100.0,3.0,3.0,Unfurnished,7.0,North - East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,99773.24263038549,90497.272227107,82083.69363002901,74452.32982315557,67530.4578894835,61252.11599953152,55557.47482950704,50392.267419054006,,,,,,,
2BHK Multistorey Apartment for Rent in Juhu Versova Link Road,75000.0,1000.0,2.0,2.0,Furnished,1.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Juhu Versova Link Road,Juhu Versova Link Road,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,,,,,,,
2BHK Multistorey Apartment for Rent in Vile Parle East,68000.0,900.0,2.0,2.0,Unfurnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2007.0,Vile Parle East,Vile Parle East,61678.00453514739,55943.76828584797,50742.64697129066,46025.07661795071,41746.10124077162,37864.94443607403,34344.62080369526,31151.5834954152,,,,,,,
2BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala East,99500.0,1300.0,2.0,2.0,Unfurnished,21.0,West,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2003.0,Wadala,Lodha New Cuffe Parade,90249.43310657596,81858.89624179224,74248.43196534443,67345.51652185436,61084.36872730553,55405.323108667144,50254.261323054096,45582.096438144305,41344.30515931456,37500.50354586354,,,,,
3BHK Multistorey Apartment for Rent in Lodha Venezia at Parel,150000.0,1506.0,3.0,3.0,Semi-Furnished,15.0,East,Main Road,Rent,Apartment,Mumbai,2017.0,Parel,Lodha Venezia,136054.42176870749,123405.37121878227,111932.30949549412,,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Lodha Venezia at Parel,110000.0,1332.0,2.0,2.0,Semi-Furnished,22.0,East,Main Road,Rent,Apartment,Mumbai,2017.0,Parel,Lodha Venezia,99773.24263038549,90497.272227107,82083.69363002901,,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Peninsula Ashok Towers at Parel,130000.0,1125.0,2.0,2.0,Semi-Furnished,12.0,East,Garden/Park,Rent,Apartment,Mumbai,2017.0,Parel,Peninsula Ashok Towers,117913.83219954648,106951.32172294463,97008.00156276156,,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Ashok Gardens at Jijamata Nagar Abhyudaya Nagar,140000.0,1598.0,2.0,2.0,Semi-Furnished,14.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Jijamata,Ashok Gardens,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,43409.507439571,39373.70289303492,35713.109200031664,32392.8428118201
2BHK Multistorey Apartment for Rent in Ashok Gardens at Jijamata Nagar Abhyudaya Nagar,140000.0,1598.0,2.0,2.0,Semi-Furnished,14.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Jijamata,Ashok Gardens,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,43409.507439571,39373.70289303492,35713.109200031664,32392.8428118201
3BHK Multistorey Apartment for Rent in Ekta WestBay at Bandra West,200000.0,1500.0,3.0,3.0,Semi-Furnished,14.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1985.0,Bandra,Ekta WestBay,181405.89569160997,164540.49495837637,149243.07932732548,135367.8724057374,122782.65070815184,111367.48363551185,101013.5905991037,91622.30439828,83104.1309734966,75377.89657460008,68369.97421732433,62013.58205653,56248.14699004988,51018.727428616665,46275.48973117157
2BHK Multistorey Apartment for Rent in Bandstand Apartment at Bandra,200000.0,950.0,2.0,3.0,Semi-Furnished,8.0,East,"Garden/Park, Pool",Rent,Apartment,Mumbai,1985.0,Bandra,Bandstand Apartment,181405.89569160997,164540.49495837637,149243.07932732548,135367.8724057374,122782.65070815184,111367.48363551185,101013.5905991037,91622.30439828,83104.1309734966,75377.89657460008,68369.97421732433,62013.58205653,56248.14699004988,51018.727428616665,46275.48973117157
3BHK Multistorey Apartment for Rent in Platinum Life at Andheri West,180000.0,1350.0,3.0,3.0,Furnished,9.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2001.0,Andheri,Platinum Life,163265.30612244896,148086.44546253872,134318.77139459294,121831.08516516366,110504.38563733664,100230.73527196066,90912.23153919334,82460.073958452,74793.71787614694,67840.10691714007,61532.976795591894,,,,
2BHK Multistorey Apartment for Rent in Cozy Home at Pali Hill,150000.0,1050.0,2.0,3.0,Semi-Furnished,5.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1985.0,Pali,Cozy Home,136054.42176870749,123405.37121878227,111932.30949549412,101525.90430430304,92086.98803111387,83525.61272663389,75760.19294932777,68716.72829871,62328.09823012245,56533.422430950064,51277.48066299324,46510.1865423975,42186.11024253741,38264.0455714625,34706.61729837868
2BHK Multistorey Apartment for Rent in Beau Pride at Hill Road,180000.0,1100.0,2.0,2.0,Furnished,9.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1985.0,Hill,Beau Pride,163265.30612244896,148086.44546253872,134318.77139459294,121831.08516516366,110504.38563733664,100230.73527196066,90912.23153919334,82460.073958452,74793.71787614694,67840.10691714007,61532.976795591894,55812.223850877,50623.33229104489,45916.854685755,41647.940758054414
2BHK Multistorey Apartment for Rent in Silver Cascade at Bandra,250000.0,1100.0,2.0,2.0,Semi-Furnished,7.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1985.0,Bandra,Silver Cascade,226757.36961451246,205675.61869797047,186553.84915915685,169209.84050717176,153478.31338518977,139209.35454438982,126266.98824887963,114527.88049785001,103880.16371687075,94222.37071825011,85462.4677716554,77516.9775706625,70310.18373756234,63773.40928577083,57844.36216396446
3BHK Multistorey Apartment for Rent in The Designate at Santacruz West,200000.0,1500.0,3.0,3.0,Semi-Furnished,9.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1985.0,Santacruz,The Designate,181405.89569160997,164540.49495837637,149243.07932732548,135367.8724057374,122782.65070815184,111367.48363551185,101013.5905991037,91622.30439828,83104.1309734966,75377.89657460008,68369.97421732433,62013.58205653,56248.14699004988,51018.727428616665,46275.48973117157
1BHK Multistorey Apartment for Rent in Chembur,42000.0,440.0,1.0,2.0,Unfurnished,7.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1971.0,Chembur,Chembur,38095.23809523809,34553.503941259034,31341.046658738353,28427.253205204852,25784.356648711884,23387.171563457487,21212.85402581178,19240.6839236388,17451.867504434285,15829.358280666018,14357.694585638108,13022.8522318713,11812.110867910475,10713.9327600095,9717.85284354603
3BHK Multistorey Apartment for Rent in Chembur,110000.0,1000.0,3.0,3.0,Semi-Furnished,1.0,East,"Main Road, Garden/Park",Rent,Apartment,Mumbai,1971.0,Chembur,Chembur,99773.24263038549,90497.272227107,82083.69363002901,74452.32982315557,67530.4578894835,61252.11599953152,55557.47482950704,50392.267419054006,45707.27203542313,41457.843116030046,37603.48581952838,34107.4701310915,30936.480844527436,28060.300085739167,25451.519352144365
2BHK Multistorey Apartment for Rent in Ashok Gardens at Jijamata Nagar Abhyudaya Nagar,140000.0,1598.0,2.0,2.0,Semi-Furnished,14.0,North - East,Garden/Park,Rent,Apartment,Mumbai,1989.0,Jijamata,Ashok Gardens,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,70709.5134193726,64135.61307879601,58172.89168144762,52764.527602220056,47858.981952127026,43409.507439571,39373.70289303492,35713.109200031664,32392.8428118201
2BHK Multistorey Apartment for Rent in Chembur,60000.0,750.0,2.0,2.0,Unfurnished,6.0,East,"Main Road, Garden/Park",Rent,Apartment,Mumbai,1971.0,Chembur,Chembur,54421.76870748299,49362.14848751291,44772.92379819765,40610.361721721216,36834.79521244555,33410.24509065355,30304.07717973111,27486.691319484,24931.23929204898,22613.368972380023,20510.9922651973,18604.074616959,16874.444097014963,15305.618228584999,13882.646919351471
2BHK Multistorey Apartment for Rent in Chembur,55000.0,650.0,2.0,2.0,Unfurnished,1.0,East,"Main Road, Garden/Park",Rent,Apartment,Mumbai,1971.0,Chembur,Chembur,49886.621315192744,45248.6361135535,41041.846815014505,37226.164911577784,33765.22894474175,30626.05799976576,27778.73741475352,25196.133709527003,22853.636017711564,20728.921558015023,18801.74290976419,17053.73506554575,15468.240422263718,14030.150042869584,12725.759676072183
2BHK Multistorey Apartment for Rent in Chembur,65000.0,735.0,2.0,2.0,Unfurnished,12.0,East,"Main Road, Garden/Park",Rent,Apartment,Mumbai,1971.0,Chembur,Chembur,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,27008.842566386393,24497.816386745028,22220.241620630404,20154.414168372252,18280.647771766213,16581.08641430042,15039.53416263076
3BHK Multistorey Apartment for Rent in Chembur,75000.0,900.0,3.0,3.0,Unfurnished,1.0,West,"Main Road, Garden/Park",Rent,Apartment,Mumbai,1971.0,Chembur,Chembur,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,31164.049115061225,28266.711215475032,25638.74033149662,23255.09327119875,21093.055121268706,19132.02278573125,17353.30864918934
1BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,35000.0,601.0,1.0,2.0,Unfurnished,25.0,East,Main Road,Rent,Apartment,Mumbai,2013.0,Mulund,Piramal Revanta,31746.031746031746,28794.586617715864,26117.53888228196,23689.377671004044,21486.96387392657,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,72000.0,1700.0,3.0,3.0,Semi-Furnished,15.0,West,Main Road,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Bliss,65306.12244897959,59234.57818501549,53727.50855783717,48732.43406606546,44201.75425493466,40092.29410878426,36364.89261567733,32984.029583380805,29917.487150458775,27136.04276685603,24613.190718236758,,,,
3BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,73000.0,1700.0,3.0,3.0,Semi-Furnished,16.0,West,Main Road,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Bliss,66213.15192743763,60057.28065980737,54473.723954473804,49409.27342809415,44815.66750847542,40649.13152696182,36869.960568672854,33442.141105372204,30333.00780532626,27512.93224972903,24955.04058932338,,,,
3BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,75000.0,1700.0,3.0,3.0,Semi-Furnished,11.0,West,Main Road,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Bliss,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,31164.049115061225,28266.711215475032,25638.74033149662,,,,
2BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,50000.0,1250.0,2.0,2.0,Unfurnished,5.0,West,Garden/Park,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Bliss,45351.47392290249,41135.12373959409,37310.76983183137,33841.96810143435,30695.66267703796,27841.87090887796,25253.397649775925,22905.57609957,20776.03274337415,18844.47414365002,17092.493554331082,,,,
2BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,68000.0,1250.0,2.0,2.0,Furnished,25.0,West,Garden/Park,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Forests,61678.00453514739,55943.76828584797,50742.64697129066,46025.07661795071,41746.10124077162,37864.94443607403,34344.62080369526,31151.5834954152,28255.404530988842,25628.484835364026,23245.79123389027,,,,
2BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,67000.0,1250.0,2.0,2.0,Furnished,21.0,West,Garden/Park,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Forests,60770.97505668934,55121.06581105608,49996.43157465404,45348.237255922024,41132.187987230864,37308.107017896466,33839.55285069974,30693.471973423802,27839.88387612136,25251.59535249103,22903.94136280365,,,,
2BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,66000.0,1250.0,2.0,2.0,Furnished,23.0,West,Garden/Park,Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Runwal Forests,59863.94557823129,54298.3633362642,49250.21617801741,44671.39789389334,40518.2747336901,36751.26959971891,33334.48489770422,30235.360451432403,27424.363221253876,24874.70586961803,22562.091491717027,,,,
